,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
143,3.0,0.0,3.0,1.2,5.0,1.4,5.0,4.2,1.0,15.0,1.2,3.3,28.5,4.5,1.9,2.0,3.0,0.0
144,4.0,1.0,15.0,1.2,1.3,1.4,1.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
145,1.2,2.0,0.0,1.2,4.0,2.0,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,20.0
146,0.0,0.0,14.0,1.0,1.0,1.4,7.0,4.2,1.0,15.0,1.2,3.3,28.5,4.5,1.9,2.0,3.0,0.0
147,2.0,0.0,6.0,2.0,2.0,1.4,2.0,4.2,1.0,15.0,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
148,0.0,0.0,12.0,1.0,1.0,1.4,0.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
149,5.0,0.0,1.0,2.0,2.0,1.4,4.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
150,0.0,0.0,8.0,0.0,0.0,1.4,2.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
151,4.0,1.0,3.0,1.2,1.3,1.4,3.0,3.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
152,4.0,0.0,4.0,2.0,3.0,1.4,2.0,2.0,1.0,12.7,1.2,3.3,28.5,8.0,0.0,2.0,2.0,0.0
153,5.0,1.0,1.0,3.0,1.3,1.0,0.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,15.0
154,4.0,0.0,0.0,0.0,0.0,1.4,5.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
155,1.0,1.0,2.0,2.0,1.3,1.4,0.0,1.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,20.0
156,1.0,0.0,0.0,2.0,2.0,1.4,4.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
157,0.0,0.0,0.0,2.0,2.0,1.4,4.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,7.0,0.0
158,0.0,2.0,1.0,3.0,2.0,1.4,5.0,3.0,1.0,2.0,0.0,3.3,28.5,4.5,1.9,2.0,1.0,6.0
159,2.0,0.0,1.0,2.0,2.0,1.4,1.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,0.0
160,2.0,1.1,13.0,1.0,2.0,1.4,4.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,0.0
161,0.0,3.0,1.0,0.0,0.0,2.0,7.0,7.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,1.0,4.0
162,0.0,0.0,0.0,3.0,2.0,1.4,4.0,4.2,1.0,12.7,1.2,1.0,28.5,4.5,1.0,2.0,3.0,0.0
163,1.2,3.0,2.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
164,0.0,0.0,5.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
165,0.0,1.0,7.0,1.2,1.3,1.4,5.0,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.0,1.0,5.0,0.0
